wav_filename,wer,cer,original,prediction
common_voice_ca_19056947.wav,0.000000,0.000000,els carnestoltes donen voltes,els carnestoltes donen voltes
common_voice_ca_19104767.wav,0.000000,0.000000,qui espera es desespera,qui espera es desespera
common_voice_ca_19169327.wav,0.125000,0.022222,que bonica estava amb les seues toques negres,que bonic estava amb les seues toques negres
common_voice_ca_19867424.wav,0.142857,0.051948,estava connectat a l'aeroport de dakar al sud i a l'aeroport d'agadir al nord,estava connectat a l'aeroport de de cara al sud i a l'aeroport d'agadir al nord
common_voice_ca_19908370.wav,0.400000,0.163934,antiga capella dedicada a sant sebastià i actualment en desús,antiga capella dedicada a sant sebastià actualment amb el seus
common_voice_ca_17852479.wav,0.272727,0.175439,no puc venir perquè he d'acompanyar la meva mare al metge,no puc venir en què companya la meva mare al metge
common_voice_ca_19910348.wav,0.250000,0.086957,malgrat estar sempre obert sovint hi ha pescadors i caçadors del país,el gra està sempre obert sovint hi ha pescadors i caçadors del país
common_voice_ca_17533100.wav,0.142857,0.060000,factors que influeixen en la permeabilitat cutània,factors que influeixen en la permeabilitat botànic
common_voice_ca_19334660.wav,0.454545,0.232143,venia tanta gent perquè també es jugava al joc de l'olla,venia tanta gent perquè també jugava els ocell
common_voice_ca_19073340.wav,0.388889,0.250000,l'incentiu a la innovació és l'eix de la política comercial que es pretén desenvolupar durant aquest nou període,l'incentiu l'evasió és l'eix de la presa comercial que es pretén desenvolupar durant atenderla
common_voice_ca_19503277.wav,0.916667,0.635135,aquesta va ser la seva única intervenció en les guerres civils britàniques,catastrofista menció a la guerra turistes
common_voice_ca_19896121.wav,0.545455,0.305556,penja d'un galó amb franges diagonals morades i blanques d'igual amplada,en caducado francescana morades i blanques d'igual amplada
common_voice_ca_19036291.wav,1.000000,1.000000,gats i rates no fan lliga,cancelarte no fa interrogatorio pasadoe violent
common_voice_ca_17517031.wav,1.000000,0.581818,el premi no podrà ser compartit però sí declarat desert,previamente conteret per sincera a ser
common_voice_ca_19897634.wav,0.000000,0.000000,mengen detritus crustacis cucs insectes de la superfície i peixets,mengen detritus crustacis cucs insectes de la superfície i peixets
common_voice_ca_19897158.wav,0.166667,0.095238,la seu es troba a lió,la seu es troba a la
common_voice_ca_21792940.wav,0.500000,0.205128,la construcció és allargada i irregular,la construcció i arada irregular
common_voice_ca_20155670.wav,0.000000,0.000000,es conserva força documentació de la casa,es conserva força documentació de la casa
common_voice_ca_20166294.wav,0.000000,0.000000,es troba en territori del poble de miravet,es troba en territori del poble de miravet
common_voice_ca_20005360.wav,0.000000,0.000000,un bon nombre duia cuirassa,un bon nombre duia cuirassa
common_voice_ca_18007286.wav,0.666667,0.437500,mira el rellotge,mira ellos
common_voice_ca_20345370.wav,0.545455,0.450704,la percepció dels impostos el feien els francesos que després repartien,la percepció dels arrestats els francesos retrodecer
common_voice_ca_20481543.wav,0.000000,0.000000,es tracta d'una casa pairal de grans dimensions orientada a ponent,es tracta d'una casa pairal de grans dimensions orientada a ponent
common_voice_ca_17478018.wav,0.400000,0.155844,titulació llicenciatura en matemàtiques o titulació equivalent si n'hi hagués,titulació llicenciatura en matemàtiques o titulació divalent sigues
common_voice_ca_19736718.wav,0.750000,0.581395,fou el cap espiritual de la comunitat jueva,fou el que pesada contador
common_voice_ca_17588299.wav,0.375000,0.171429,allò que està ben après mai es perd,allò que està ben après a este
common_voice_ca_21774134.wav,0.153846,0.024390,a partir d'aquest moment compaginarà la seua tasca docent amb la creació artística,a partir d'aquest moment compaginar la seva tasca docent amb la creació artística
common_voice_ca_20855333.wav,0.000000,0.015152,així ho determina l'última enquesta realitzada per la unió europea,així ho determina l'última enquesta realitzada per la unió europea 
common_voice_ca_21877942.wav,0.000000,0.000000,no,no
common_voice_ca_18339564.wav,0.000000,0.000000,venim de sant boi de llobregat,venim de sant boi de llobregat
common_voice_ca_17627925.wav,0.000000,0.000000,ella assentí,ella assentí
common_voice_ca_19157343.wav,0.000000,0.000000,la millor defensa és un bon atac,la millor defensa és un bon atac
common_voice_ca_17460571.wav,0.000000,0.000000,no ho entenia,no ho entenia
common_voice_ca_19063164.wav,0.000000,0.000000,cada pregunta contestada erròniament té una penalització d'un terç sobre les correctes,cada pregunta contestada erròniament té una penalització d'un terç sobre les correctes
common_voice_ca_22170624.wav,1.000000,0.500000,quatre,quan
common_voice_ca_19927762.wav,0.083333,0.025641,es va fer impossible mantenir i finançar orquestres itinerants de setze músics,es va fer impossible mantenir finançar orquestres itinerants de setze músics
common_voice_ca_19335821.wav,0.157895,0.038095,més encara si es té en compte que aquesta multinacional preveu obrir un punt de venda oficial a catalunya,més encara si estan compte que aquesta multinacional preveu obrir un punt de venda oficial a catalunya
common_voice_ca_18179316.wav,0.200000,0.086957,sa pobresa no és vilesa,s'ha pobresa no és vilesa
common_voice_ca_17457491.wav,0.000000,0.000000,el trasllat no donarà dret a dietes,el trasllat no donarà dret a dietes
common_voice_ca_20345188.wav,0.900000,0.454545,encara jove participa en les activitats de la resistència italiana,encara hi ha la participar la petita de la lecitina de gana
common_voice_ca_20176773.wav,0.133333,0.051282,el festival se celebra el primer i els següents tres dies del primer mes lunar,el festival se celebra el primer i els següents tres dies del primer més d'una
common_voice_ca_21212178.wav,0.285714,0.111111,la capital de la província és nyanza,la capital de la província és ni alta
common_voice_ca_20420034.wav,0.000000,0.000000,va ser filmada en part en llocs on ella havia crescut,va ser filmada en part en llocs on ella havia crescut
common_voice_ca_17520907.wav,0.666667,0.431373,actuacions que promoguin l'ús d'energies renovables,actuació escrit promoguin l'ús eienes
common_voice_ca_19796135.wav,0.076923,0.018182,els seus colors són el vermell vi el groc or i el blanc,els seus colors són el vermell i el groc or i el blanc
common_voice_ca_20136202.wav,0.000000,0.000000,va ser molt intens,va ser molt intens
common_voice_ca_18405924.wav,0.571429,0.319444,però allò que a les dues germanes més els cridava l'atenció era la falla,per allò que les useres més escalada d'acció era la fa
common_voice_ca_18492888.wav,1.000000,0.642857,va llegir un manual de mysql,la llegenda espera
common_voice_ca_19895055.wav,0.250000,0.123288,en reconeixement el rei arnulf de caríntia va donar-li uns territoris més,en reconeixement el rol de caríntia a donar-li uns territoris més
common_voice_ca_18301166.wav,0.250000,0.066667,amb invitació prèvia quan es considere necessari poden assistir també experts independents,amb imitació prèvia quan es considera necessari poden existir també experts independents
common_voice_ca_18239665.wav,0.000000,0.000000,els nens opten pel joc psicomotor,els nens opten pel joc psicomotor
common_voice_ca_20299795.wav,0.071429,0.024691,és un gran casal cobert amb teulada de doble vessant sobre les façanes principals,és un gran casal cobert amb teulada a doble vessant sobre les façanes principals
common_voice_ca_20430429.wav,0.000000,0.000000,més separada hi ha una antiga torre circular que formava part d'aquest recinte,més separada hi ha una antiga torre circular que formava part d'aquest recinte
common_voice_ca_20445043.wav,0.600000,0.338983,els valors estan expressats en euros i en dinars kuwaitians,els valors estan exprés ateneus i amines comediants
common_voice_ca_20419983.wav,0.000000,0.000000,s'alimenta principalment de cucs mol·luscs i petits crustacis,s'alimenta principalment de cucs mol·luscs i petits crustacis
common_voice_ca_19908846.wav,0.000000,0.000000,allà treballen més de mil persones,allà treballen més de mil persones
common_voice_ca_18319999.wav,0.000000,0.000000,estic molt enrabiat molt,estic molt enrabiat molt
common_voice_ca_17478941.wav,0.000000,0.000000,en temps de verema totes les cistelles són bones,en temps de verema totes les cistelles són bones
common_voice_ca_17478937.wav,0.000000,0.000000,hi ha més dies que llonganisses i més hores que botifarres,hi ha més dies que llonganisses i més hores que botifarres
common_voice_ca_21604089.wav,0.500000,0.200000,arts escèniques,es escèniques
common_voice_ca_19895764.wav,0.000000,0.000000,l'edifici principal fou el del culte funerari del rei amb una sala hipòstila al costat,l'edifici principal fou el del culte funerari del rei amb una sala hipòstila al costat
common_voice_ca_19895763.wav,0.000000,0.000000,el rectificador és usualment un pont trifàsic de díodes però també s'usen rectificadors controlats,el rectificador és usualment un pont trifàsic de díodes però també s'usen rectificadors controlats
common_voice_ca_21604086.wav,0.500000,0.100000,finalment l'exèrcit mongol es va retirar,finalment l'exèrcit mongol se la retira
common_voice_ca_19906983.wav,0.428571,0.195122,les persones de pell blanca són superiors,les persones de pel blanques els superiors
common_voice_ca_19907285.wav,0.090909,0.024691,moltes de les composicions següents foren escrites originalment per a pel·lícules,molta de les composicions següents foren escrites originalment per a pel·lícules
common_voice_ca_19906984.wav,0.000000,0.012048,els pagesos fabricaven formatge i mantega com a forma de conservar la llet produïda,els pagesos fabricaven formatge i mantega com a forma de conservar la llet produïda 
common_voice_ca_19907287.wav,0.000000,0.000000,no hi ha serveis públics disponibles en aquesta parcel·la,no hi ha serveis públics disponibles en aquesta parcel·la
common_voice_ca_17930323.wav,0.666667,0.200000,és l'hora d'esmorzar,les hora d'esmorzar
common_voice_ca_19903177.wav,0.000000,0.000000,el denominador és la massa molecular del compost,el denominador és la massa molecular del compost
common_voice_ca_17930320.wav,0.210526,0.073171,el món del programari lliure és un excel·lent camp d'aprenentatge per als professionals de les tecnologies de la informació,el món del programari lliure és un excel·lent camp d'aprenentatge a les professionals de les tecnologies en informació
common_voice_ca_19895002.wav,0.076923,0.025974,està ubicat al xamfrà i presenta una columna estriada amb basament i capitell,està ubicat al xamfrà i presenta una columna estriada amb basament capitell
common_voice_ca_19895003.wav,0.111111,0.027027,l'organització estarà basada en principis democràtics voluntaris i públics,l'organització està basada en principis democràtics voluntaris i públics
common_voice_ca_17537134.wav,0.000000,0.000000,la plaça era una mar multicolor de caps,la plaça era una mar multicolor de caps
common_voice_ca_17537133.wav,0.333333,0.191781,el seu domicili radicarà a castelló passeig de morella número quinze baix,marcel seu domicili radicarà que estalle passats de morella número quinze baix
common_voice_ca_20325542.wav,1.000000,0.580645,té forma de polígon quadrilàter,formada preguntaria a
common_voice_ca_19897596.wav,0.272727,0.115942,eren catòlics convençuts i políticament molt actius a la jove bèlgica,eren catòlics convençuts i políticament molt actius a les evangèlica
common_voice_ca_19897598.wav,0.000000,0.000000,alguns experts les consideren de fet còpies dels originals,alguns experts les consideren de fet còpies dels originals
common_voice_ca_20325543.wav,0.461538,0.283582,al cap de dos anys ja estava donant classes a la mateixa institució,al cap de dos anys estava donant classe matisació
common_voice_ca_17374038.wav,0.500000,0.400000,què oferim,oferim
common_voice_ca_17468528.wav,0.000000,0.000000,moltes moltes gràcies per la vostra feina,moltes moltes gràcies per la vostra feina
common_voice_ca_17374040.wav,0.000000,0.000000,endebades,endebades
common_voice_ca_17473343.wav,0.700000,0.309524,el qui vulga ser papa que s'ho pose al cap,el que vulguis que s'hi posi el cap
common_voice_ca_17468529.wav,0.285714,0.142857,revisa i gestiona l'actualització dels continguts del departament publicats al portal de la transparència,realitza estil electoralització dels continguts del departament publicats al portal de la transparència
common_voice_ca_17473340.wav,0.400000,0.074074,lluna de gener l'amor prevé,i una de gener l'amor prevé
common_voice_ca_19519751.wav,0.250000,0.111111,en leo té una obsessió per les eines,millo té una obsessió per les eines
common_voice_ca_19519752.wav,0.000000,0.000000,químicament seran inerts i tèrmicament estables,químicament seran inerts i tèrmicament estables
common_voice_ca_19908100.wav,0.000000,0.000000,ell era tanmateix el responsable pels enregistraments de tambor i la barreja final,ell era tanmateix el responsable pels enregistraments de tambor i la barreja final
common_voice_ca_19908097.wav,0.000000,0.000000,de forma aïllada entorn de la casa se'n troben d'altres portasses solls i d'altres,de forma aïllada entorn de la casa se'n troben d'altres portasses solls i d'altres
common_voice_ca_19911980.wav,0.615385,0.307692,el capítol reunit immediatament va nomenar guerau com a nou bisbe de barcelona,tot capitol reunit immediatament anomena grau com a nou mimades
common_voice_ca_19911977.wav,0.600000,0.363636,la sèrie va durar poc més d'un any en antena,la seva pedra poc mesura en antena
common_voice_ca_19896372.wav,0.200000,0.080460,encara que no hi ha una descripció matemàtica completa hi ha solucions per alguns casos,encara que no hi ha una descripció matemàtica eta i a solucions per alguns casos
common_voice_ca_19896371.wav,0.166667,0.035294,tots els edificis d'aquesta zona varen ser reconstruïts després del conflicte bèl·lic,tots els edificis d'aquesta zona van ser reconstruïts després el conflicte bèl·lic
common_voice_ca_17498752.wav,0.437500,0.188889,és el marc que molts valencians conscients tenen instal·lat i en el qual se senten còmodes,és el marc a molts valencians conscients tenen instal·lar i en el cos o centre en compres
common_voice_ca_17498749.wav,0.142857,0.034884,com poden haver-hi patents en una societat democràtica i una economia de lliure mercat,com poden haver-hi patents en una societat democràtica i una economia de viure marcat
common_voice_ca_17894594.wav,0.125000,0.119048,boira al castell pica espart i fes cordell,boira al castell de espart i fes cordell 
common_voice_ca_17894590.wav,1.000000,0.512195,el paràgraf inicial espantava els lectors,així desesperar gravin ici espantava els rectors i 
common_voice_ca_21289200.wav,0.363636,0.160714,és un dels rius d'irlanda que té millor pesca de salmons,és un dels meus irlanda que té en la pesca de salmons
common_voice_ca_21289199.wav,0.500000,0.235294,té quatre carrils en cada direcció,té quatre carrils encara res
common_voice_ca_21883989.wav,0.000000,0.000000,el territori mai va funcionar com un veritable estat independent,el territori mai va funcionar com un veritable estat independent
common_voice_ca_21883988.wav,0.125000,0.081081,a més va descobrir les fases de venus,a més va descobrir les fases de les
common_voice_ca_17489812.wav,0.300000,0.240000,ara voldria unir-les totes en un sol punt de vista,ara voldria i restes en un sol punt de buscar
common_voice_ca_17489811.wav,0.764706,0.593407,en tot cas serà necessari no haver sigut qualificat amb zero punts en cap dels dos supòsits,en tot cas serà més sana noves i un oncle antecessor
common_voice_ca_19895723.wav,0.000000,0.000000,per a un cilindre circular recte hi ha quatre possibilitats,per a un cilindre circular recte hi ha quatre possibilitats
common_voice_ca_19895724.wav,0.142857,0.085714,la capital de la província és gweru,la capital de la província és zero
common_voice_ca_20340439.wav,0.100000,0.046512,tot i ésser un canal es comporta com un riu,tot i ser un canal es comporta com un riu
common_voice_ca_20340438.wav,0.222222,0.087719,forma part del grup de galàxies anomenat robert's quartet,forma part del grup de galàxies anomenat robes quart
common_voice_ca_19895375.wav,0.000000,0.000000,la seva escriptura es caracteritza per una inusual gran vocabulari amb notable puresa,la seva escriptura es caracteritza per una inusual gran vocabulari amb notable puresa
common_voice_ca_19895381.wav,0.000000,0.000000,la sortida de so és a través d'un brunzidor a la màquina mateixa,la sortida de so és a través d'un brunzidor a la màquina mateixa
common_voice_ca_17716764.wav,0.000000,0.000000,venim de seva,venim de seva
common_voice_ca_17716767.wav,0.111111,0.062500,un dibuix autògraf de dalí pot valer molts euros,un un dibuix autògraf de dalí pot valer molts euros
common_voice_ca_21852760.wav,0.111111,0.019608,l'entrada estava al costat nord al nivell del terra,l'entrada estava al costat nord a nivell del terra
common_voice_ca_21852762.wav,0.307692,0.100000,de la mateixa manera hi ha diferència quant a l'autonomia econòmica dels ateneus,la mateixa manera hi ha diferència quan en autonomia econòmica dels ateneus
common_voice_ca_19894046.wav,0.066667,0.022727,després de la seva ordenació es convertí en ajudant de direcció a l'observatori de viena,després de la seva ordenació es convertí en ajudant de direcció l'observatori de viena
common_voice_ca_19894052.wav,0.076923,0.053333,també s'ha conservat bé una paret transversal que anava de ponent a llevant,també s'ha conservat bé una paret transversal anava de ponent a llevant
common_voice_ca_20286815.wav,0.000000,0.000000,els independents i el partit popular,els independents i el partit popular
common_voice_ca_20286816.wav,0.142857,0.048193,creix en zones humides dels boscos temperats de les muntanyes de xile i l'argentina,creix en zones humides dels boscos temperats de les muntanyes de xile argentina
common_voice_ca_18969179.wav,0.642857,0.512821,el volum b tampoc no serà admissible si no es va obtenir llicència urbanística,el volum de poca selectiva i es va obtenir viatjant
common_voice_ca_18969182.wav,0.000000,0.000000,quins són,quins són
common_voice_ca_18415437.wav,1.000000,0.333333,quinze,quina
common_voice_ca_18415438.wav,0.000000,0.000000,no m'agrada la sopa de galets,no m'agrada la sopa de galets
common_voice_ca_19897656.wav,0.076923,0.012658,l'ordre de les trobades es decideix per sorteig abans de començar la competició,l'orde de les trobades es decideix per sorteig abans de començar la competició
common_voice_ca_19897659.wav,0.333333,0.222222,és de perillositat alta a causa que dóna a mar obert i tenir fort onatge,és de perillositat alta a causa que dóna a mariano onatge
common_voice_ca_19060003.wav,0.538462,0.243243,el personal amb jornada continuada tindrà dret a un descans de vint minuts,el personal amb jornada continuada entre detestats de diminuts
common_voice_ca_19060006.wav,0.250000,0.185185,per sant jaume i santa anna pinta el raïm i la magrana,per sant jaume i santa anna entre el raïm i megan
common_voice_ca_19897371.wav,0.000000,0.000000,ha perdut la seva innocència,ha perdut la seva innocència
common_voice_ca_19897367.wav,0.125000,0.023256,es va emetre dins del programa sense ficció,es va emetre dins el programa sense ficció
common_voice_ca_17499345.wav,0.500000,0.235294,com estava el món,com es troba el món
common_voice_ca_19894992.wav,0.363636,0.155172,en semifinals de conferència el seu rival va ser utah jazz,en semifinals de conferència els seus rival va ser taxes
common_voice_ca_19894996.wav,0.133333,0.043956,per a una descripció completa vegeu l'article individual sobre cada tipus de pila o bateria,per a una descripció completa vegeu l'article i visual sobre cada tipus de pila o bateria
common_voice_ca_17499343.wav,0.285714,0.259259,val més el sabó que la roba,les palmes el sabó que la roba
common_voice_ca_19897085.wav,0.200000,0.049505,a mesura que s'expandiren els consolats de mar augmentava el risc d'incompatibilitat amb altres drets,en les una que s'expandiren els consolats de mar augmentava el risc d'incompatibilitat amb altres drets
common_voice_ca_19905585.wav,0.076923,0.037037,existeixen algunes diferències menors entre els repertoris de fonemes consonàntics dels dialectes totonaques,existeixen algunes diferències menors entre els repertoris de fulles consonàntics dels dialectes totonaques
common_voice_ca_19905586.wav,0.533333,0.352113,es troba al japó les hawaii el mar de timor taiwan austràlia i el iemen,es troba al japó les calibració aigua austràlia i element
common_voice_ca_19914359.wav,0.333333,0.229167,aquest animal rar menja insectes i cucs de terra,aquest animal rar menja insectes i cobrar
common_voice_ca_19897612.wav,0.000000,0.000000,la decoració interior és classicista,la decoració interior és classicista
common_voice_ca_19914358.wav,0.571429,0.283019,no havien rodat cap llargmetratge però tenien estudis audiovisuals curtmetratges i experiència en rodatges,l'avi notat cap ermetre però tenim estudis audiovisuals metratge i experiència unas els
common_voice_ca_19897610.wav,0.400000,0.181818,aquesta vegada li va tocar jugar com a lateral esquerre,aquesta vegada li va tocar ja com la cara l'esquerra
common_voice_ca_19906786.wav,0.571429,0.261905,és per això que estic conferint-li l'honor,es per això estic conferint-li les era
common_voice_ca_19024401.wav,0.272727,0.122449,això es veu en la llengua tant com en la política,això es veu en la llengua tan clar la política
common_voice_ca_19024399.wav,0.400000,0.223881,coneixement i aplicació dels signes que modifiquen l'atac dels sons,coneixement i aplicació de resignifiqui l'atac dels sons
common_voice_ca_19906789.wav,0.500000,0.220930,la cort estava situada al castell o palau principal i residències properes dels nobles,la corda està recitada al castell on el tribial i residències properes als nobles
common_voice_ca_20170672.wav,0.181818,0.057692,consta només de planta amb molt poca alçada i un pis,costa més de planta amb molt poca alçada i un pis
common_voice_ca_20726082.wav,0.000000,0.000000,va ser nominada a l'oscar a la millor pel·lícula de parla no anglesa,va ser nominada a l'oscar a la millor pel·lícula de parla no anglesa
common_voice_ca_20726081.wav,0.000000,0.000000,per això el llenguatge té un aspecte individual i un aspecte social,per això el llenguatge té un aspecte individual i un aspecte social
common_voice_ca_19908448.wav,0.000000,0.000000,davant d'aquesta façana hi ha el cementiri,davant d'aquesta façana hi ha el cementiri
common_voice_ca_19897320.wav,0.090909,0.016129,limita amb els municipis d'amposta a l'oest i deltebre al nord,limita amb els municipis d'amposta a l'oest i deltebre el nord
common_voice_ca_19908451.wav,0.266667,0.090000,un dels trets característics d'aquest animal és que tenia els ullals únicament al maxil·lar inferior,con dels trets característics de que tenia és que tenia els ullals únicament al maxil·lar inferior
common_voice_ca_19897322.wav,0.090909,0.060606,els croats van ser sorpresos indefensos i el castell fou incendiat,els croats van ser sorpresos indefensos i el castell fou enviat
common_voice_ca_17579975.wav,0.333333,0.136364,agost té la culpa i setembre porta la fruita,agost té la culpa i setembre per alauita
common_voice_ca_20508488.wav,0.000000,0.000000,per tant ha de conservar-se sense taca,per tant ha de conservar-se sense taca
common_voice_ca_17579973.wav,0.500000,0.310345,amb el cuc es pesca l'anguila,amb el cor es escolania
common_voice_ca_17507443.wav,0.153846,0.064516,la democràcia que tanca el passat a la poesia li obre el futur,la democràcia que tanca el passat a la poesia d'obra el futur
common_voice_ca_17507444.wav,0.090909,0.021429,el volum de reserves és d'uns setze milions set-cents seixanta mil metres cúbics que equival a unes quaranta-un milions nou-centes mil tones,el volum de reserves és d'uns setze milions set-cents seixanta mil metres cúbics que qui va a unes quaranta-un milions nou-centes mil tones
common_voice_ca_20508487.wav,0.000000,0.000000,l'estructura molecular és en làmines amb tetraedres i octaedres,l'estructura molecular és en làmines amb tetraedres i octaedres
common_voice_ca_21348639.wav,0.357143,0.121951,alguns invents remarcables són el termòmetre modern el llapis de grafit i el violí,alguns invents remarcables no termòmetre modern al llapis de grafit i en viu
common_voice_ca_21348641.wav,0.466667,0.209877,ella en busca un amor ardent i sincer capaç de reemplaçar el seu disgust conjugal,ella amb buscador argentins capaç de reemplaçar el seu disgust conjugal
common_voice_ca_19895250.wav,0.000000,0.000000,és una espècie endèmica d'uruguai,és una espècie endèmica d'uruguai
common_voice_ca_19896968.wav,0.111111,0.020000,en els llibres antics és sempre anomenada el romeu,en els llibres antics és sempre anomenava el romeu
common_voice_ca_19895251.wav,0.133333,0.050633,ocupava la posició de defensa central sent conegut per la seua duresa en el joc,ocupava la posició de defensa central sent conegut a la seva duresa en el joc
common_voice_ca_19896946.wav,0.071429,0.028169,a les catedrals hi ha un capítol de canonges que hi celebren els oficis,les catedrals hi ha un capítol de canonges que hi celebren els oficis
common_voice_ca_19895466.wav,0.000000,0.000000,es localitza a l'inici del barranc de la batalla,es localitza a l'inici del barranc de la batalla
common_voice_ca_19909067.wav,1.000000,0.666667,la capital és vianden,dedicat desviament
common_voice_ca_19296947.wav,0.000000,0.000000,anem a godall,anem a godall
common_voice_ca_19909065.wav,0.142857,0.104167,exerceix com professor en la universitat harvard,exerceix com professor en la universitat han
common_voice_ca_19895468.wav,0.166667,0.053333,aquesta rebel·lió prompte va prendre un to anarquista i de caràcter polític,aquesta rebel·lió prompte va prendre un to en artista i de caràcter polític
common_voice_ca_19296948.wav,0.666667,0.181818,anem a ullà,anem allà
common_voice_ca_19379787.wav,0.000000,0.000000,ambdós pares curin dels pollets,ambdós pares curin dels pollets
common_voice_ca_19379788.wav,0.142857,0.050000,casa desenvolupada en planta baixa i pis,casa desenvolupada en planta baixa pis
common_voice_ca_21292694.wav,0.000000,0.000000,des de llavors diverses organitzacions han participat en la reconstrucció del poble,des de llavors diverses organitzacions han participat en la reconstrucció del poble
common_voice_ca_21292693.wav,0.333333,0.169492,és ara una de les races de gats més populars dels concursos,ara és una de les races tarats més populars dels concursos
common_voice_ca_20065455.wav,0.181818,0.102941,s'hi collia poc blat sègol patates fajol llegums hortalisses i herba,s'hi collia poc blat sègol patates fajol llegums hortalisses i herbes reial
common_voice_ca_20065450.wav,0.142857,0.022727,la gelosia d'ella provocà fricció entre ells,la gelosia d'ella provocà fricció entre els
common_voice_ca_17378192.wav,0.555556,0.256410,de nadal a sant julià tretze dies hi ha,anava a sant julià tres dies i a
common_voice_ca_17378193.wav,0.230769,0.074627,l'altra té més a veure amb el contingut i la formulació dels contes,l'altre tema és a veure amb el contingut i la formulació dels contes
common_voice_ca_19894556.wav,0.090909,0.096154,va haver de pledejar i no va tornar a la congregació,va haver de planes i no va tornar a la congregació
common_voice_ca_19894557.wav,0.300000,0.179104,aquesta estada determinà el seu interès també pels estudis occitans,aquesta estamina el seu interès també passa estudis occitans
common_voice_ca_19914555.wav,0.100000,0.013333,és territorial solitària sedentària i bàsicament activa durant el crepuscle,es territorial solitària sedentària i bàsicament activa durant el crepuscle
common_voice_ca_19914559.wav,0.000000,0.022727,fins llavors havia estat una casa particular,fins llavors havia estat una casa particular 
common_voice_ca_20324859.wav,0.285714,0.176471,van tenir cinc fills i tres filles,relaten cinc fills i tres filles
common_voice_ca_20324865.wav,0.846154,0.535211,ha treballat com a ambaixador en diversos països i a les nacions unides,altre lancelot i arestes hi ha les nacions des
common_voice_ca_19930309.wav,0.333333,0.169014,la majoria habiten en aigües dolces però també n'hi ha d'aigües marines,la majoria habiten en aigües dolces pretenia d'aigües marines
common_voice_ca_19930454.wav,0.071429,0.011765,es va traslladar a viure a barcelona on viu actualment i on exerceix professionalment,es va traslladar a viure a barcelona on viu actualment i un exerceix professionalment
